Valor glucosa mg/dl,mmol/L,17 bytes recibidos como notifiacion,Bits,Timestamp y informacion,Info sensor,bytes adicionales recibidos en ese tiempo,HardwareName
168,9.32,52-52-DC-B1-B9-1F-2B-FD-F2-C7-33-68-69-74-A8-E0-22,0101001001010010110111001011000110111001000111110010101111111101111100101100011100110011011010000110100101110100101010001110000000100010,11:23:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
169,9.38,52-52-DC-B3-B8-1F-2A-3D-8E-C7-49-68-69-74-A8-13-EA,0101001001010010110111001011001110111000000111110010101000111101100011101100011101001001011010000110100101110100101010000001001111101010,11:24:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
165,9.16,52-52-DC-A2-BB-1F-26-FD-C6-C7-33-68-6E-74-A8-74-BA,0101001001010010110111001010001010111011000111110010011011111101110001101100011100110011011010000110111001110100101010000111010010111010,11:25:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
159,8.82,52-52-DC-AF-BA-1F-1C-FD-C0-C7-1B-68-6E-74-A8-12-A0,0101001001010010110111001010111110111010000111110001110011111101110000001100011100011011011010000110111001110100101010000001001010100000,11:26:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
152,8.44,52-52-DC-58-BD-1F-1B-FD-31-C7-1B-68-6E-74-A8-A7-2B,0101001001010010110111000101100010111101000111110001101111111101001100011100011100011011011010000110111001110100101010001010011100101011,11:27:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
145,8.05,52-52-DC-54-BC-1F-12-3D-04-C7-1B-68-6F-74-A8-05-66,0101001001010010110111000101010010111100000111110001001000111101000001001100011100011011011010000110111101110100101010000000010101100110,11:28:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
138,7.66,52-52-DC-4D-BF-1F-09-FD-61-C7-3D-68-6C-74-A8-BA-0C,0101001001010010110111000100110110111111000111110000100111111101011000011100011100111101011010000110110001110100101010001011101000001100,11:29:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
136,7.55,52-52-DC-48-BE-1F-0B-FD-7D-C7-27-68-6C-74-A8-D1-6D,0101001001010010110111000100100010111110000111110000101111111101011111011100011100100111011010000110110001110100101010001101000101101101,11:30:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
136,7.55,52-52-DC-51-B3-1F-0B-FD-65-C7-27-68-6C-74-A8-0A-72,0101001001010010110111000101000110110011000111110000101111111101011001011100011100100111011010000110110001110100101010000000101001110010,11:32:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
138,7.66,52-52-DC-5A-B2-1F-09-FD-7D-C7-33-68-6C-74-A8-99-BD,0101001001010010110111000101101010110010000111110000100111111101011111011100011100110011011010000110110001110100101010001001100110111101,11:33:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
139,7.71,52-52-DC-A6-B5-1F-08-FD-7D-C7-27-68-6C-74-A8-36-84,0101001001010010110111001010011010110101000111110000100011111101011111011100011100100111011010000110110001110100101010000011011010000100,11:34:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
141,7.83,52-52-DC-A5-B4-1F-0E-3D-70-C7-33-68-6C-74-A8-6F-0E,0101001001010010110111001010010110110100000111110000111000111101011100001100011100110011011010000110110001110100101010000110111100001110,11:35:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 52-52-DC-A5-B4-1F-0E-3D-70-C7-33-68-6C-74-A8-6F-0E,GX-01S
